first_name,last_name,hard_skills,soft_skills,teamwork,creativity,class
Sonia,Hamdi,4.12,3.49,2.72,1.47,1A13
Sami,Jebali,1.02,2.56,4.96,1.11,3B96
Bechir,Kanzari,2.14,2.36,3.33,2.39,5GAMIX42
Ghassen,Karoui,0.13,3.56,2.49,0.2,5SIM56
Lobna,Jaziri,2.51,3.94,0.77,1.96,1A13
Marwen,Ben Amor,4.59,4.8,0.24,1.57,5GAMIX79
Dorra,Mabrouk,0.63,3.73,1.59,0.05,3B23
Ghassen,Khlifi,4.78,4.28,0.71,4.33,2A71
Zaineb,Makni,0.01,2.86,2.03,1.9,1A62
Ines,Fourati,4.81,4.52,2.45,4.81,1A92
Sabrine,Jebali,0.77,3.04,1.37,3.9,3B60
Lotfi,Chaabane,1.4,0.92,2.34,0.95,5TWIN79
Ali,Chebbi,0.47,4.99,3.79,3.54,2P21
Wafa,Toumi,4.15,4.7,3.87,0.26,1A10
Fares,Khlifi,4.45,4.89,1.2,2.48,3B93
Haythem,Nasri,2.02,4.03,1.79,0.06,3B85
Youssef,Fourati,4.06,0.54,1.37,2.03,3B84
Nabil,Karoui,3.73,4.35,2.71,4.81,3A73
Fethi,Chouchene,1.86,2.85,0.9,2.37,1A48
Hedi,Bouazizi,0.48,0.32,0.81,0.99,3B67
Nour,Saidi,1.7,3.11,2.35,4.61,4GAMIX39
Siwar,Mansour,2.66,4.9,4.09,3.61,2A75
Walid,Khemiri,1.26,1.26,0.84,1.1,3A60
Hedi,Driss,0.15,4.64,3.92,0.24,3B67
Salma,Makni,4.49,3.89,3.52,4.43,5IOSYS22
Mourad,Ben Salah,0.72,1.57,2.41,2.91,2A63
Eya,Miled,2.67,2.61,2.58,0.34,3A69
Foued,Lahmar,2.99,0.42,0.2,3.98,1A23
Salma,Khlifi,3.41,1.56,4.48,3.91,1A77
Ahmed,Ghanouchi,1.33,4.18,4.34,4.04,1A39
Bilel,Nasri,1.14,3.34,3.31,2.42,1A18
Omar,Rekik,3.92,4.42,4.72,3.4,2A71
Lobna,Mabrouk,1.63,1.09,1.01,1.82,1A82
Nabil,Ferjani,3.5,3.84,0.57,2.08,4NIDS26
Mariem,Bouazizi,2.03,3.62,3.19,2.3,2A71
Walid,Ferjani,3.47,4.14,0.1,1.93,3A19
Zaineb,Mansour,4.02,2.21,2.73,2.56,5SAE33
Olfa,Mansour,4.41,1.7,0.06,2.9,2A89
Amel,Chebbi,2.08,4.47,3.41,3.96,5SIM57
Siwar,Maaloul,4.49,4.82,1.72,3.52,2A25
Mohamed,Nasri,1.45,2.91,3.95,3.63,5GAMIX42
Ghassen,Chaabane,3.54,2.84,2.72,0.54,2P99
Iheb,Khlifi,2.11,4.41,3.14,3.86,1A92
Ghassen,Jaziri,2.28,4.79,0.41,3.52,1A90
Oussama,Ferjani,3.38,1.04,0.33,2.43,2A75
Hichem,Sassi,2.48,2.42,4.58,4.03,5SAE2
Yasmine,Rekik,1.18,1.34,1.42,3.09,3A88
Farah,Ayari,3.92,2.74,2.59,4.14,3B96
Mariem,Maaloul,1.46,1.72,2.71,3.88,3A66
Ines,Miled,2.56,2.58,4.88,1.27,5SE99
Lobna,Guettari,2.26,3.98,3.63,1.89,1A62
Ali,Rekik,0.44,0.67,0.81,0.07,2A99
Marwen,Ammar,3.39,0.03,1.34,3.75,2A98
Hiba,Khemiri,0.81,1.04,2.19,2.55,1A64
Nadia,Chouchene,2.55,4.65,4.93,3.34,3A97
Foued,Chebbi,4.6,2.45,2.97,1.04,4SIM62
Lobna,Kanzari,1.39,1.42,1.23,4.01,3B49
Mohamed,Sassi,4.78,0.17,0.06,0.63,5TWIN27
Oumaima,Khlifi,0.83,3.7,1.35,3.63,4BI6
Mariem,Saidi,1.25,2.96,1.45,3.97,3B49
Iheb,Kanzari,0.55,1.45,2.41,3.82,1A39
Sami,Slimani,4.15,0.57,3.81,3.73,3A88
Amel,Mansour,3.56,0.37,1.97,4.32,3A97
Rania,Fourati,1.81,1.51,0.6,4.03,2A99
Ghassen,Lahmar,1.83,4.35,3.22,2.42,4GAMIX83
Oussama,Miled,0.08,3.68,1.07,1.66,5SLEAM43
Mehdi,Lahmar,0.26,3.28,0.33,3.07,2P82
Hamza,Zouari,1.43,2.86,4.67,3.34,5ARCTIC60
Walid,Trabelsi,4.61,0.08,1.09,2.2,5SAE2
Cyrine,Hamdi,4.28,2.03,5.0,1.05,4SIM89
Mohamed,Abidi,2.78,1.95,2.73,2.18,3A66
Hamza,Ben Ali,4.0,0.72,3.09,4.27,3A10
Hiba,Rekik,4.04,2.7,3.51,2.3,3B93
Dorra,Cherif,3.66,2.1,0.63,3.9,1A95
Ines,Ben Amor,1.76,2.71,3.88,3.29,1A92
Asma,Chebbi,4.92,0.21,0.22,0.37,3B11
Karim,Kanzari,1.22,0.9,2.71,4.36,5SLEAM43
Karim,Mabrouk,3.07,2.43,2.79,1.73,5SE100
Iheb,Fourati,1.09,1.87,4.72,1.62,3A75
Karim,Ammar,2.22,2.39,4.19,2.25,1A1
Amina,Ammar,2.38,2.5,0.77,1.18,4SAE18
Oussama,Ben Amor,1.77,4.51,0.46,3.58,5SAE59
Ahmed,Bouazizi,2.75,1.96,4.7,3.1,2A75
Khadija,Slimani,0.76,3.27,2.96,3.4,3B49
Amina,Jlassi,2.26,3.32,4.76,4.09,3A97
Khadija,Jebali,1.33,0.65,3.71,3.09,5TWIN27
Asma,Khemiri,0.83,3.47,1.13,0.73,4ARCTIC27
Eya,Jaziri,2.57,3.92,4.74,2.76,3A88
Ahmed,Ferjani,3.11,0.74,0.99,3.13,5TWIN79
Adel,Jebali,2.19,4.14,3.77,1.54,5IOSYS58
Mourad,Zouari,4.82,0.84,2.81,3.66,2A27
Siwar,Ben Ali,2.21,0.96,1.19,2.09,3A69
Foued,Ben Salah,0.77,3.05,0.28,1.65,5GAMIX57
Chaima,Cherif,4.01,3.56,3.49,0.12,5SAE33
Sami,Ammar,4.28,2.96,4.61,0.36,1A95
Mariem,Jlassi,4.44,4.91,4.31,0.43,3B60
Rami,Mabrouk,3.11,2.79,1.97,0.1,1A55
Salma,Ammar,4.64,3.81,0.43,1.54,4ARCTIC27
Foued,Zouari,3.17,1.77,3.92,2.77,3B4
Asma,Hamdi,2.89,2.76,4.9,3.0,2A32
Asma,Chaabane,4.04,4.13,1.57,4.09,5IOSYS5
Hedi,Haddad,3.98,4.17,3.72,2.17,4SIM89
Fares,Nasri,3.82,3.89,1.79,4.64,1A43
Ismail,Makni,1.94,0.59,4.49,4.45,2A35
Amine,Mejri,1.16,2.47,4.04,2.87,3A19
Aymen,Baccouche,2.7,3.8,2.62,4.14,5ARCTIC60
Bechir,Bouazizi,1.15,0.86,3.84,1.18,3A55
Mariem,Hamdi,1.72,2.03,4.73,4.49,2A63
Hichem,Kanzari,0.28,3.28,0.8,1.86,3B67
Hela,Ben Salah,4.37,1.76,4.68,4.01,4BI6
Samira,Ferjani,3.3,4.99,3.31,2.04,3B67
Marwen,Ben Ali,2.14,4.91,1.13,4.89,5GAMIX57
Lobna,Makni,3.37,3.19,1.56,2.94,3B96
Manel,Ferjani,0.39,3.87,3.28,3.97,3A82
Hiba,Lahmar,4.37,2.15,4.52,2.32,3A96
Wided,Miled,2.74,0.06,4.88,4.73,4BI6
Wafa,Ayari,2.9,2.78,4.78,2.01,2P51
Eya,Ghanouchi,2.72,1.57,0.1,0.67,2A6
Lobna,Haddad,3.89,0.71,0.17,2.58,1A10
Siwar,Driss,2.08,4.07,1.0,4.37,3B96
Asma,Kanzari,1.97,4.66,3.26,1.39,5TWIN27
Dorra,Turki,3.61,4.75,1.54,4.25,2A77
Mariem,Baccouche,0.75,3.17,4.04,2.4,3B4
Hedi,Turki,2.72,3.51,4.63,3.52,2A31
Fethi,Cherif,2.62,3.91,0.88,4.87,5BI77
Sabrine,Ben Salah,1.68,2.66,0.77,0.44,3B84
Anis,Khlifi,1.1,4.15,2.06,3.97,4SIM89
Nour,Sassi,1.15,4.1,4.02,0.3,5SLEAM43
Emna,Bouazizi,3.44,1.27,1.39,2.73,3B42
Emna,Chaabane,4.75,1.98,2.82,0.77,3B96
Amina,Khemiri,4.34,4.77,1.2,3.13,2A77
Iheb,Ferjani,3.33,2.07,2.48,1.29,3A82
Sarra,Ghanouchi,4.56,3.1,0.3,2.06,3A73
Sonia,Karoui,2.19,1.35,4.96,3.36,2A77
Amine,Trabelsi,0.47,4.36,0.66,0.83,2A63
Farah,Makni,1.34,2.01,4.3,0.99,5INFINI39
Eya,Ferjani,4.73,3.26,4.08,1.57,2A98
Siwar,Ben Salah,0.61,0.25,1.31,4.36,5ARCTIC60
Salma,Toumi,0.16,1.23,3.62,1.24,2A63
Youssef,Khemiri,0.58,2.21,0.71,4.06,3B60
Emna,Slimani,2.86,2.88,3.87,0.23,5SAE2
Lotfi,Khemiri,3.7,3.26,2.56,1.74,5SIM57
Yasmine,Jlassi,2.21,4.89,1.35,0.17,3B4
Hiba,Chouchene,3.05,3.06,0.01,2.77,5NIDS7
Bilel,Bouazizi,1.79,0.84,1.97,3.03,2A77
Yasmine,Karoui,0.53,0.11,4.82,2.87,1A55
Oumaima,Ben Salah,4.95,2.81,0.63,4.83,2A31
Wafa,Trabelsi,1.67,0.66,1.83,2.03,5TWIN2
Eya,Khlifi,1.37,4.08,1.75,3.62,3A19
Omar,Gharbi,2.88,2.58,2.45,4.63,5SAE59
Zaineb,Maaloul,1.86,0.92,2.22,0.26,2A75
Rim,Haddad,2.64,2.99,2.32,4.0,4SAE18
Foued,Chouchene,2.42,4.1,1.53,2.02,4SAE18
Farah,Rekik,1.65,3.9,2.68,3.55,5GAMIX79
Mourad,Kanzari,4.27,2.45,4.42,0.28,2P36
Amine,Turki,1.65,0.14,1.86,2.29,5NIDS7
Rim,Jaziri,2.0,0.68,2.92,1.94,3B81
Hamza,Chebbi,3.88,2.74,3.23,0.08,5SAE59
Mohamed,Mabrouk,3.24,0.67,2.18,2.46,4SIM62
Chaima,Ammar,4.65,4.38,0.19,2.67,1A16
Meriem,Jaziri,0.42,1.23,3.48,3.88,5INFINI39
Ines,Guettari,2.0,0.51,1.43,0.44,1A77
Hedi,Gharbi,4.68,0.25,1.69,0.17,3A88
Nadia,Ghanouchi,1.65,4.88,0.36,4.02,2P19
Farah,Karoui,0.06,0.62,2.09,1.15,2A4
Fares,Toumi,3.01,3.18,2.05,0.52,3A10
Sofiene,Jaziri,2.58,0.05,1.66,3.5,1A7
Ismail,Jaziri,1.93,0.31,1.77,3.6,1A92
Nour,Bouazizi,1.3,2.24,4.99,3.48,1A23
Wassim,Sassi,0.87,0.67,2.53,0.95,1A95
Lina,Ghanouchi,2.33,4.76,2.71,3.52,3B23
Olfa,Gharbi,1.45,4.8,0.32,2.69,2A32
Marwen,Rekik,2.78,1.7,0.13,0.5,3A82
Zied,Haddad,2.95,0.58,3.52,1.19,5IOSYS22
Olfa,Turki,2.88,1.91,0.61,1.89,2A77
Rym,Sassi,4.31,1.11,0.07,1.95,3B93
Mohamed,Baccouche,1.29,3.38,3.53,3.42,1A80
Rym,Miled,2.62,3.12,4.85,1.4,2P19
Cyrine,Chaabane,4.94,3.8,4.72,2.26,3A88
Ahmed,Slimani,4.75,2.31,0.57,2.91,5INFINI39
Cyrine,Kanzari,3.78,3.65,4.25,2.98,2A25
Youssef,Zouari,0.77,3.62,1.39,4.27,5GAMIX42
Nour,Ayari,4.88,0.8,3.5,0.29,2A31
Bechir,Makni,3.84,3.2,0.8,0.66,5IOSYS22
Farah,Khlifi,4.76,1.15,3.99,1.55,5BI77
Zaineb,Zayani,2.13,4.64,1.24,3.63,2A98
Rami,Belkhir,4.53,4.93,0.68,0.55,1A80
Bechir,Rekik,4.51,2.66,1.78,1.7,5NIDS35
Omar,Belkhir,4.24,3.78,0.43,0.5,5SLEAM19
Mohamed,Maaloul,1.05,1.86,2.89,1.61,3A97
Fatma,Jebali,3.07,0.5,4.68,3.6,4SIM62
Tarek,Jlassi,4.44,2.31,3.06,3.59,4GAMIX83
Anis,Jlassi,0.88,2.11,4.0,0.35,3A73
Sami,Fourati,0.35,2.41,2.88,4.79,1A33
Ali,Ferjani,3.17,0.84,3.06,4.88,1A92
Walid,Turki,3.61,2.07,1.57,4.06,3A75
Hatem,Guettari,3.2,1.95,3.25,0.72,5SLEAM43
Ghassen,Mejri,1.54,1.99,2.86,2.2,1A23
Marwen,Driss,4.12,4.21,3.99,1.13,5NIDS35
Wassim,Haddad,1.01,4.2,0.78,4.41,4SIM62
Sofiene,Zouari,3.06,1.57,3.46,4.15,1A13
Manel,Lahmar,2.41,1.38,0.49,1.81,5NIDS35
Amina,Jaziri,4.99,1.3,3.14,1.31,5IOSYS7
Wassim,Ben Ali,2.16,2.41,1.19,4.91,1A23
Lina,Lahmar,3.89,3.52,0.68,0.64,2A77
Olfa,Khlifi,2.62,3.58,1.38,0.55,5SIM57
Chaima,Saidi,4.39,0.13,3.12,4.85,5NIDS7
Lotfi,Nasri,1.82,3.8,3.2,2.17,3A82
Rami,Makni,1.53,1.67,2.04,3.89,1A43
Mehdi,Rekik,0.82,0.16,3.9,4.72,3A70
Manel,Jlassi,3.21,1.3,2.43,1.44,2A63
Ines,Turki,1.66,0.31,4.46,4.46,5SLEAM43
Siwar,Slimani,4.63,2.26,3.19,4.04,4GAMIX83
Rania,Chouchene,3.83,2.87,2.92,3.58,3A10
Rami,Jebali,3.92,3.09,2.15,3.32,1A77
Emna,Hamdi,2.72,1.41,1.86,1.87,5SAE33
Samira,Miled,4.9,2.98,4.29,4.15,2P99
Ismail,Belkhir,4.07,2.0,2.27,0.44,5SE100
Hatem,Abidi,2.24,1.58,0.07,2.72,3B67
Adel,Kanzari,0.43,1.95,4.31,2.68,2A89
Yasmine,Haddad,3.45,0.52,1.81,2.43,5GAMIX57
Fatma,Lahmar,0.18,4.96,4.1,3.26,4SAE18
Omar,Hamdi,2.1,2.29,3.13,3.34,2A63
Rami,Lahmar,2.21,0.83,3.59,4.7,2A49
Amine,Gharbi,4.26,4.51,2.98,1.08,2A6
Sabrine,Baccouche,0.67,3.21,3.54,2.62,5ARCTIC86
Hiba,Jebali,1.59,3.19,2.51,3.03,2A4
Ines,Chaabane,4.83,4.87,1.27,1.07,5SAE2
Aymen,Ferjani,4.48,3.61,3.26,3.83,1A77
Tarek,Mabrouk,1.91,3.33,2.73,0.35,1A48
Chokri,Trabelsi,0.24,2.55,4.61,4.63,2P21
Dorra,Jaziri,2.82,1.34,1.75,4.87,3B67
Ali,Mejri,2.29,1.55,2.67,1.05,1A39
Zied,Maaloul,2.43,0.88,3.15,3.54,2A98
Nabil,Bouazizi,0.97,3.59,0.98,4.62,5TWIN79
Tarek,Ammar,1.07,2.64,0.08,2.59,2A32
Skander,Guettari,1.12,4.92,0.46,3.45,2A98
Lobna,Trabelsi,4.43,1.39,2.29,1.16,1A18
Yasmine,Jaziri,3.2,2.9,3.65,3.42,4GAMIX83
Ali,Ghanouchi,2.25,0.46,3.85,0.11,5SAE2
Fares,Khemiri,3.0,4.28,3.3,4.06,3A66
Farah,Ammar,1.0,1.1,4.13,0.15,1A80
Chaima,Ghanouchi,4.25,1.39,0.42,0.28,5GAMIX42
Sarra,Ayari,1.87,3.53,3.2,1.89,2A58
Sami,Khlifi,2.87,0.23,2.28,2.09,2A58
Wassim,Fourati,4.33,4.34,4.07,1.94,5SE100
Hamza,Khemiri,2.61,4.08,0.76,2.46,2A75
Yasmine,Ferjani,3.26,0.95,3.0,1.92,4GAMIX83
Wassim,Gharbi,4.39,2.13,3.0,4.42,5GAMIX79
Adel,Toumi,3.47,3.41,2.08,0.32,3B49
Hatem,Turki,4.1,1.77,4.4,2.24,2A61
Amina,Fourati,3.13,4.75,3.8,4.57,5IOSYS7
Meriem,Mejri,0.42,4.79,1.52,2.58,1A10
Rami,Gharbi,3.86,2.73,0.16,3.82,3B23
Mohamed,Khlifi,4.03,2.65,3.17,2.66,4ARCTIC87
Chokri,Maaloul,0.3,3.9,1.58,1.6,5IOSYS7
Emna,Lahmar,0.34,2.83,2.59,0.42,5BI77
Nadia,Ben Salah,2.99,3.63,4.35,2.77,2A98
Sabrine,Fourati,0.27,1.91,1.99,0.27,1A55
Asma,Jebali,0.2,1.64,1.75,4.69,2A58
Ines,Ben Ali,0.47,3.43,4.6,1.95,4ARCTIC27
Nabil,Gharbi,0.0,3.73,1.13,1.55,3B4
Amel,Nasri,2.19,3.66,3.17,3.22,3B60
Fatma,Baccouche,0.67,2.66,0.03,0.76,1A74
Nour,Rekik,4.57,0.05,2.93,1.91,1A23
Sarra,Turki,4.45,3.28,1.31,1.51,2P87
Ali,Jebali,0.44,1.18,2.36,1.51,3A96
Hichem,Miled,3.22,4.07,2.45,3.86,1A1
Meriem,Makni,4.2,4.06,2.68,1.98,4IOSYS40
Meriem,Zayani,0.57,4.59,0.8,2.21,5NIDS35
Iheb,Lahmar,3.29,1.91,4.8,0.38,1A13
Ghada,Lahmar,2.29,1.67,4.18,2.75,5SE100
Omar,Ferjani,4.43,3.67,2.91,3.21,3B96
Rym,Jaziri,4.54,4.34,2.57,3.57,3B81
Hela,Ben Ali,4.92,4.06,0.3,0.71,3A60
Khalil,Ammar,3.87,1.01,0.83,4.63,3A69
Chokri,Mabrouk,1.2,4.92,3.28,0.74,1A64
Sami,Toumi,4.82,0.13,3.86,2.69,3B60
Aymen,Mejri,1.78,0.47,0.81,1.01,3A55
Hela,Haddad,4.64,3.26,3.44,1.19,5GAMIX38
Ali,Cherif,3.47,2.89,3.52,0.66,2P30
Mehdi,Baccouche,1.1,2.83,4.38,2.54,3A55
Amel,Belkhir,2.88,0.15,3.85,2.77,3B12
Hedi,Ferjani,1.38,1.66,4.66,1.49,1A90
Oumaima,Rekik,2.73,0.83,0.57,4.62,2A4
Mariem,Turki,1.15,4.88,1.95,3.63,1A64
Sonia,Ammar,2.15,2.13,4.44,3.88,1A13
Fatma,Fourati,1.46,3.03,3.16,3.34,3B23
Ahmed,Guettari,4.19,0.17,3.48,1.8,2A35
Meriem,Fourati,1.15,0.03,1.55,3.27,2P87
Aymen,Trabelsi,2.02,4.64,0.2,4.46,4BI6
Wafa,Karoui,1.24,4.92,4.67,2.24,2A77
Hamza,Mejri,1.3,4.98,1.81,4.26,1A7
Mourad,Rekik,1.91,0.56,4.1,4.42,3A96
Nour,Zouari,2.63,3.07,2.67,4.99,3A96
Asma,Baccouche,2.83,3.68,2.42,2.77,3A10
Amel,Zayani,3.96,4.57,4.43,3.32,5IOSYS7
Chokri,Ammar,3.11,0.04,3.24,0.72,1A95
Siwar,Lahmar,3.52,4.75,2.37,0.21,1A33
Wassim,Ben Salah,4.22,3.89,0.89,4.75,3A69
Amine,Miled,3.84,1.69,1.51,3.4,3B4
Nadia,Miled,0.46,2.62,1.85,2.24,1A77
Anis,Abidi,3.07,3.31,3.86,0.98,1A18
Sarra,Rekik,1.62,1.07,1.31,2.78,3A55
Yasmine,Kanzari,3.31,1.11,0.05,2.86,4TWIN23
Haythem,Lahmar,3.83,4.16,2.22,0.07,5SAE59
Manel,Belkhir,1.74,2.93,4.19,1.52,3B49
Nour,Turki,1.25,3.16,4.4,2.14,2A61
Lina,Chebbi,2.74,3.21,2.85,1.86,3A60
Sabrine,Mabrouk,4.01,4.67,4.82,1.7,2P51
Tarek,Toumi,1.27,2.03,2.49,1.26,1A23
Omar,Toumi,0.62,3.74,1.57,1.22,5SE100
Khalil,Mabrouk,2.53,4.76,2.89,0.44,5NIDS7
Salma,Maaloul,0.84,0.18,0.97,0.61,1A62
Khalil,Ferjani,2.33,2.42,2.54,1.08,2P36
Bilel,Jaziri,3.24,1.71,4.04,2.58,1A55
Chaima,Zayani,3.14,2.97,4.04,4.9,5GAMIX38
Bechir,Haddad,2.72,2.06,1.28,1.39,1A77
Fares,Abidi,2.79,1.08,3.91,4.67,1A95
Ahmed,Toumi,4.87,2.26,2.43,0.15,5TWIN79
Aymen,Hamdi,1.89,3.99,1.49,3.17,4ARCTIC87
Sarra,Khemiri,0.06,1.97,0.22,4.21,4ARCTIC87
Hela,Miled,1.95,3.14,0.1,3.91,5SAE33
Ghada,Ferjani,0.86,1.52,1.95,1.06,3A19
Oumaima,Zayani,2.22,4.9,4.78,2.78,3B11
Iheb,Ben Salah,3.01,0.82,2.65,4.05,1A16
Hend,Ferjani,4.85,2.05,3.56,2.98,4SIM62
Wided,Chouchene,0.69,1.63,2.79,3.13,5SLEAM19
Wafa,Lahmar,2.09,4.57,4.94,0.31,2A61
Wided,Ben Salah,0.06,1.03,0.22,0.87,2A31
Ines,Lahmar,0.29,1.74,4.51,0.47,3A70
Nour,Chaabane,1.8,4.21,3.74,0.71,3B81
Sabrine,Chaabane,3.27,4.98,0.81,0.54,2A77
Oumaima,Bouazizi,3.12,1.78,1.19,3.64,3B85
Nizar,Lahmar,4.84,0.71,2.53,2.87,2P82
Zied,Jlassi,4.24,4.69,1.3,2.41,5SAE2
Farah,Mansour,3.94,3.37,0.7,3.23,1A90
Sabrine,Driss,4.27,0.16,0.49,1.86,1A92
Chokri,Ghanouchi,3.16,2.81,1.65,0.15,5ARCTIC86
Farah,Saidi,4.82,2.58,2.97,3.43,2P21
Leila,Fourati,0.64,4.58,2.15,3.66,2A98
Lobna,Maaloul,0.37,4.29,3.15,4.56,5SIM56
Nadia,Haddad,2.29,1.18,1.75,0.92,5SLEAM19
Sami,Chaabane,2.38,1.38,2.92,1.2,4SAE18
Bechir,Chouchene,4.6,0.53,2.17,4.91,3A60
Eya,Sassi,2.19,1.48,0.5,0.41,3B85
Lotfi,Cherif,0.65,3.59,0.62,4.48,4ARCTIC27
Oumaima,Baccouche,1.88,0.31,2.81,4.67,5IOSYS22
Eya,Jlassi,2.64,0.19,3.57,2.62,3A97
Nizar,Fourati,2.68,3.17,0.47,0.49,3B93
Adel,Turki,2.29,4.99,3.88,1.63,2A6
Sabrine,Toumi,4.36,0.98,1.19,1.97,2A75
Hiba,Jlassi,3.06,0.2,4.58,4.0,1A33
Sabrine,Maaloul,4.96,1.03,3.99,1.56,5TWIN27
Farah,Ghanouchi,3.35,2.16,4.19,3.12,2A58
Nizar,Hamdi,3.57,3.82,1.51,2.04,2A25
Farah,Khemiri,1.05,4.8,1.57,0.07,5BI77
Amine,Mabrouk,0.77,4.99,0.44,3.26,4IOSYS40
Nour,Nasri,2.78,1.26,4.55,2.56,2A99
Mohamed,Mejri,4.82,3.2,0.52,3.86,3B11
Rania,Guettari,0.01,2.11,0.15,3.21,3A75
Farah,Chouchene,4.44,1.41,3.19,2.47,4SIM62
Skander,Miled,2.96,3.26,4.51,3.67,1A1
Cyrine,Guettari,1.31,0.93,0.19,1.06,4IOSYS40
Rami,Baccouche,3.12,2.49,2.15,3.82,5TWIN2
Lina,Abidi,3.52,0.82,3.31,2.24,1A90
Hamza,Guettari,4.06,3.09,2.78,4.7,3B93
Leila,Mabrouk,2.58,0.16,3.0,0.93,5IOSYS22
Aymen,Toumi,3.12,1.68,3.8,4.7,2P21
Amina,Miled,2.62,0.69,1.67,2.99,3B4
Oumaima,Karoui,3.61,3.85,3.4,2.61,4SAE18
Omar,Nasri,1.55,1.1,2.59,2.8,5NIDS35
Asma,Jlassi,4.7,4.34,2.5,1.8,2A31
Chaima,Ben Amor,3.52,0.02,3.84,1.15,4ARCTIC27
Lotfi,Makni,4.73,4.08,0.11,1.01,5BI77
Oumaima,Jaziri,2.87,2.13,3.51,1.17,3A60
Marwen,Ayari,1.08,4.68,2.17,3.03,5SIM57
Lina,Jlassi,1.59,0.48,1.71,0.17,1A74
Tarek,Bouazizi,2.54,2.74,3.6,3.61,3B4
Mohamed,Miled,3.21,4.73,2.01,1.66,3B84
Rim,Lahmar,1.33,4.95,4.76,3.29,5SIM57
Amine,Baccouche,4.6,0.32,1.77,0.73,5IOSYS5
Mariem,Khemiri,1.74,4.63,1.35,3.6,3A19
Fares,Sassi,0.61,1.87,3.85,4.53,5ARCTIC60
Hedi,Nasri,2.12,4.79,1.29,3.42,1A13
Nadia,Abidi,3.65,4.68,1.99,3.36,3A66
Wafa,Hamdi,1.17,1.17,4.06,0.16,5INFINI39
Chokri,Ben Salah,4.95,4.69,3.2,0.73,5NIDS7
Nizar,Miled,3.47,1.57,4.59,2.46,1A85
Olfa,Nasri,1.32,2.76,0.38,2.69,2A99
Hela,Turki,0.99,3.99,2.0,4.12,2P99
Karim,Ben Salah,4.83,4.23,1.95,0.54,2P99
Amel,Driss,4.88,1.56,2.48,2.98,1A95
Rami,Mansour,1.36,0.43,2.1,2.21,5SLEAM19
Samira,Chaabane,4.95,2.51,4.66,2.96,4GAMIX83
Meriem,Hamdi,0.79,4.26,1.34,3.1,2A58
Hatem,Belkhir,1.02,2.98,4.37,2.06,5IOSYS7
Ghassen,Trabelsi,4.09,2.0,0.98,2.95,1A1
Chokri,Toumi,2.12,3.12,2.02,4.88,5IOSYS22
Hiba,Zouari,4.78,0.05,0.65,4.83,2P30
Rym,Abidi,4.97,1.64,3.8,3.95,3B60
Oussama,Guettari,4.71,1.54,0.56,2.61,3B11
Salma,Kanzari,0.87,4.16,3.95,4.61,3A96
Farah,Bouazizi,1.16,2.67,1.12,3.93,3B42
Ghassen,Rekik,0.54,1.6,1.83,2.24,1A77
Sofiene,Chebbi,3.82,0.15,2.73,0.09,3B60
Cyrine,Nasri,3.02,3.48,0.73,1.23,2A61
Hichem,Mabrouk,1.94,2.54,4.6,2.53,4GAMIX39
Mourad,Baccouche,2.77,0.74,3.6,0.44,2P30
Aymen,Gharbi,3.27,1.13,3.29,4.03,4TWIN23
Sonia,Kanzari,2.03,1.63,4.58,4.51,3A66
Ghassen,Sassi,4.63,2.54,1.42,3.66,5ARCTIC60
Oumaima,Mansour,0.22,2.98,4.45,0.54,4BI6
Lina,Mansour,3.32,3.97,2.69,0.35,1A7
Ahmed,Baccouche,2.24,1.79,1.54,4.63,1A33
Mohamed,Jlassi,4.91,1.9,1.52,4.84,2P99
Sonia,Turki,1.09,4.57,3.32,2.86,1A80
Ismail,Baccouche,2.43,4.0,0.8,2.46,3B96
Amina,Sassi,0.43,3.72,2.09,0.65,2P99
Hichem,Guettari,4.35,0.8,4.31,0.32,4NIDS26
Zied,Ben Amor,1.61,2.51,2.5,0.43,3A60
Nizar,Karoui,3.67,4.24,3.98,3.12,2P36
Sarra,Sassi,2.55,2.92,2.09,0.85,5SLEAM43
Fethi,Jlassi,4.77,2.75,1.89,2.25,5NIDS7
Ghada,Chaabane,0.21,1.11,4.15,0.92,2A71
Mehdi,Khlifi,4.29,4.08,4.22,4.06,1A18
Rym,Jlassi,3.97,0.67,1.27,1.19,5IOSYS58
Foued,Ben Amor,3.49,3.42,4.69,4.91,1A33
Rym,Baccouche,4.42,3.57,2.51,3.24,2A31
Leila,Slimani,2.62,1.16,0.07,0.83,5NIDS7
Karim,Chouchene,4.78,4.19,0.33,1.02,1A1
Fares,Makni,4.92,0.48,0.68,1.32,1A16
Hela,Maaloul,2.79,0.41,0.94,3.24,5GAMIX57
Haythem,Makni,4.64,1.27,4.94,1.97,5GAMIX42
Hiba,Trabelsi,2.59,2.72,2.85,2.56,5IOSYS7
Foued,Kanzari,3.28,2.29,0.02,1.59,2P36
Rami,Zouari,3.85,0.45,2.28,3.82,1A95
Nizar,Toumi,2.8,1.96,4.3,1.42,5ARCTIC86
Farah,Cherif,3.26,2.56,4.29,3.5,1A13
Rami,Khlifi,4.03,1.93,3.15,0.72,5IOSYS22
Eya,Cherif,2.37,2.4,1.19,0.94,3A19
Rania,Chebbi,0.26,2.42,0.26,3.17,2A61
Hedi,Chebbi,3.2,1.23,2.08,3.65,5TWIN2
Mohamed,Mansour,1.58,2.63,0.96,2.44,4TWIN23
